date,product_id,product_name,category,list_price,discount_pct,selling_price,competitor_price,marketing_spend,units_sold,unit_cost,revenue,gross_profit
2025-02-05,P100,Everyday Sneakers,Footwear,71.13,0.0,71.13,70.79,873.42,72,28.0,5121.59,3105.59
2025-02-06,P100,Everyday Sneakers,Footwear,69.08,0.05,65.63,70.26,1601.86,91,28.0,5971.93,3423.93
2025-02-07,P100,Everyday Sneakers,Footwear,71.14,0.0,71.14,72.33,1243.61,82,28.0,5833.72,3537.72
2025-02-08,P100,Everyday Sneakers,Footwear,69.24,0.0,69.24,70.91,858.78,81,28.0,5608.06,3340.06
2025-02-09,P100,Everyday Sneakers,Footwear,70.28,0.0,70.28,74.38,1357.6,94,28.0,6606.37,3974.37
2025-02-10,P100,Everyday Sneakers,Footwear,70.45,0.05,66.93,72.08,1152.07,105,28.0,7027.4,4087.4
2025-02-11,P100,Everyday Sneakers,Footwear,70.65,0.0,70.65,74.33,1365.96,77,28.0,5440.4,3284.4
2025-02-12,P100,Everyday Sneakers,Footwear,68.48,0.0,68.48,74.66,1235.37,87,28.0,5958.03,3522.03
2025-02-13,P100,Everyday Sneakers,Footwear,71.97,0.0,71.97,69.85,977.9,83,28.0,5973.75,3649.75
2025-02-14,P100,Everyday Sneakers,Footwear,69.73,0.05,66.24,71.46,1421.53,111,28.0,7352.59,4244.59
2025-02-15,P100,Everyday Sneakers,Footwear,70.34,0.05,66.83,72.83,561.94,101,28.0,6749.39,3921.39
2025-02-16,P100,Everyday Sneakers,Footwear,69.22,0.15,58.84,70.25,1179.72,150,28.0,8825.72,4625.72
2025-02-17,P100,Everyday Sneakers,Footwear,68.65,0.1,61.78,71.79,1125.7,110,28.0,6796.33,3716.33
2025-02-18,P100,Everyday Sneakers,Footwear,71.52,0.05,67.94,74.01,1244.38,90,28.0,6114.87,3594.87
2025-02-19,P100,Everyday Sneakers,Footwear,70.03,0.1,63.03,72.15,1363.57,101,28.0,6366.1,3538.1
2025-02-20,P100,Everyday Sneakers,Footwear,70.43,0.15,59.87,76.01,1975.66,126,28.0,7543.45,4015.45
2025-02-21,P100,Everyday Sneakers,Footwear,69.98,0.0,69.98,69.23,1087.35,86,28.0,6018.65,3610.65
2025-02-22,P100,Everyday Sneakers,Footwear,71.82,0.0,71.82,70.6,526.98,84,28.0,6033.17,3681.17
2025-02-23,P100,Everyday Sneakers,Footwear,69.06,0.15,58.7,70.8,984.33,137,28.0,8041.67,4205.67
2025-02-24,P100,Everyday Sneakers,Footwear,68.21,0.0,68.21,75.31,836.53,82,28.0,5593.53,3297.53
2025-02-25,P100,Everyday Sneakers,Footwear,72.62,0.05,68.99,76.61,878.24,91,28.0,6277.99,3729.99
2025-02-26,P100,Everyday Sneakers,Footwear,70.79,0.0,70.79,69.98,1211.7,90,28.0,6371.47,3851.47
2025-02-27,P100,Everyday Sneakers,Footwear,70.91,0.15,60.27,71.0,1251.82,109,28.0,6569.91,3517.91
2025-02-28,P100,Everyday Sneakers,Footwear,70.09,0.1,63.08,72.02,1100.08,115,28.0,7254.16,4034.16
2025-03-01,P100,Everyday Sneakers,Footwear,71.62,0.0,71.62,71.87,1426.63,94,28.0,6732.18,4100.18
2025-03-02,P100,Everyday Sneakers,Footwear,70.38,0.15,59.82,72.12,1264.98,169,28.0,10109.66,5377.66
2025-03-03,P100,Everyday Sneakers,Footwear,72.3,0.15,61.45,72.21,1025.3,108,28.0,6637.01,3613.01
2025-03-04,P100,Everyday Sneakers,Footwear,71.82,0.0,71.82,72.35,671.95,88,28.0,6320.59,3856.59
2025-03-05,P100,Everyday Sneakers,Footwear,70.92,0.0,70.92,69.62,1130.25,85,28.0,6027.82,3647.82
2025-03-06,P100,Everyday Sneakers,Footwear,70.41,0.1,63.37,71.3,1209.29,112,28.0,7097.75,3961.75
2025-03-07,P100,Everyday Sneakers,Footwear,72.14,0.15,61.32,67.08,1214.73,118,28.0,7235.65,3931.65
2025-03-08,P100,Everyday Sneakers,Footwear,70.69,0.0,70.69,68.43,1418.08,108,28.0,7634.36,4610.36
2025-03-09,P100,Everyday Sneakers,Footwear,68.43,0.0,68.43,72.85,1181.73,100,28.0,6843.43,4043.43
2025-03-10,P100,Everyday Sneakers,Footwear,69.01,0.0,69.01,73.56,1509.76,109,28.0,7521.75,4469.75
2025-03-11,P100,Everyday Sneakers,Footwear,71.72,0.0,71.72,72.06,1927.82,92,28.0,6598.15,4022.15
2025-03-12,P100,Everyday Sneakers,Footwear,71.27,0.05,67.71,71.39,1048.93,104,28.0,7041.66,4129.66
2025-03-13,P100,Everyday Sneakers,Footwear,68.79,0.05,65.36,72.57,1231.37,115,28.0,7515.85,4295.85
2025-03-14,P100,Everyday Sneakers,Footwear,71.13,0.1,64.02,72.44,734.07,107,28.0,6850.16,3854.16
2025-03-15,P100,Everyday Sneakers,Footwear,68.76,0.15,58.44,70.28,1844.04,159,28.0,9292.31,4840.31
2025-03-16,P100,Everyday Sneakers,Footwear,69.31,0.2,55.45,71.17,862.04,151,28.0,8372.48,4144.48
2025-03-17,P100,Everyday Sneakers,Footwear,70.52,0.2,56.41,73.04,1519.15,123,28.0,6939.02,3495.02
2025-03-18,P100,Everyday Sneakers,Footwear,70.48,0.15,59.91,71.73,1881.84,111,28.0,6649.79,3541.79
2025-03-19,P100,Everyday Sneakers,Footwear,69.35,0.15,58.95,71.99,730.63,145,28.0,8547.79,4487.79
2025-03-20,P100,Everyday Sneakers,Footwear,70.5,0.15,59.92,69.96,1592.95,142,28.0,8508.81,4532.81
2025-03-21,P100,Everyday Sneakers,Footwear,70.3,0.0,70.3,71.28,1397.32,82,28.0,5764.27,3468.27
2025-03-22,P100,Everyday Sneakers,Footwear,69.8,0.0,69.8,71.49,1659.94,91,28.0,6351.37,3803.37
2025-03-23,P100,Everyday Sneakers,Footwear,69.79,0.0,69.79,73.3,1032.31,91,28.0,6350.55,3802.55
2025-03-24,P100,Everyday Sneakers,Footwear,70.15,0.1,63.13,70.75,1778.43,126,28.0,7954.88,4426.88
2025-03-25,P100,Everyday Sneakers,Footwear,70.89,0.05,67.35,71.62,2137.96,102,28.0,6869.46,4013.46
2025-03-26,P100,Everyday Sneakers,Footwear,67.37,0.05,64.0,69.85,1338.84,119,28.0,7616.05,4284.05
2025-03-27,P100,Everyday Sneakers,Footwear,67.82,0.1,61.04,68.44,723.54,104,28.0,6347.75,3435.75
2025-03-28,P100,Everyday Sneakers,Footwear,70.27,0.05,66.76,70.98,791.4,78,28.0,5207.29,3023.29
2025-03-29,P100,Everyday Sneakers,Footwear,69.76,0.2,55.81,69.65,1465.38,174,28.0,9710.25,4838.25
2025-03-30,P100,Everyday Sneakers,Footwear,69.81,0.1,62.83,70.79,1490.82,119,28.0,7477.12,4145.12
2025-03-31,P100,Everyday Sneakers,Footwear,69.38,0.0,69.38,70.67,1595.39,88,28.0,6105.29,3641.29
2025-04-01,P100,Everyday Sneakers,Footwear,70.19,0.2,56.15,70.08,1598.63,125,28.0,7018.78,3518.78
2025-04-02,P100,Everyday Sneakers,Footwear,67.91,0.0,67.91,67.69,459.9,80,28.0,5433.09,3193.09
2025-04-03,P100,Everyday Sneakers,Footwear,70.37,0.2,56.29,70.49,1692.12,169,28.0,9513.66,4781.66
2025-04-04,P100,Everyday Sneakers,Footwear,69.31,0.2,55.45,72.39,1333.17,142,28.0,7874.05,3898.05
2025-04-05,P100,Everyday Sneakers,Footwear,68.62,0.15,58.33,68.52,1171.11,153,28.0,8923.82,4639.82
2025-04-06,P100,Everyday Sneakers,Footwear,71.4,0.15,60.69,67.61,1441.42,123,28.0,7464.72,4020.72
2025-04-07,P100,Everyday Sneakers,Footwear,69.82,0.0,69.82,66.78,1634.19,83,28.0,5794.97,3470.97
2025-04-08,P100,Everyday Sneakers,Footwear,68.53,0.2,54.82,68.01,1064.46,153,28.0,8387.95,4103.95
2025-04-09,P100,Everyday Sneakers,Footwear,68.89,0.2,55.12,70.38,1775.44,152,28.0,8377.59,4121.59
2025-04-10,P100,Everyday Sneakers,Footwear,67.26,0.1,60.54,71.51,1180.66,134,28.0,8111.74,4359.74
2025-04-11,P100,Everyday Sneakers,Footwear,69.48,0.05,66.01,70.22,2002.36,127,28.0,8382.83,4826.83
2025-04-12,P100,Everyday Sneakers,Footwear,69.04,0.05,65.59,69.84,1687.45,106,28.0,6952.09,3984.09
2025-04-13,P100,Everyday Sneakers,Footwear,69.3,0.0,69.3,70.03,999.99,83,28.0,5752.0,3428.0
2025-04-14,P100,Everyday Sneakers,Footwear,66.3,0.1,59.67,67.53,1134.88,116,28.0,6921.32,3673.32
2025-04-15,P100,Everyday Sneakers,Footwear,71.14,0.0,71.14,67.72,1425.18,81,28.0,5762.68,3494.68
2025-04-16,P100,Everyday Sneakers,Footwear,68.36,0.0,68.36,69.6,1522.9,89,28.0,6084.38,3592.38
2025-04-17,P100,Everyday Sneakers,Footwear,69.95,0.0,69.95,69.23,2235.16,94,28.0,6575.52,3943.52
2025-04-18,P100,Everyday Sneakers,Footwear,70.34,0.05,66.83,69.3,1509.08,99,28.0,6615.7,3843.7
2025-04-19,P100,Everyday Sneakers,Footwear,68.32,0.0,68.32,69.81,993.45,104,28.0,7104.97,4192.97
2025-04-20,P100,Everyday Sneakers,Footwear,69.79,0.15,59.32,69.63,1196.95,146,28.0,8661.07,4573.07
2025-04-21,P100,Everyday Sneakers,Footwear,68.02,0.15,57.82,65.82,1179.18,107,28.0,6186.56,3190.56
2025-04-22,P100,Everyday Sneakers,Footwear,66.51,0.0,66.51,71.18,1622.27,92,28.0,6118.54,3542.54
2025-04-23,P100,Everyday Sneakers,Footwear,66.43,0.05,63.11,67.87,2171.35,116,28.0,7320.92,4072.92
2025-04-24,P100,Everyday Sneakers,Footwear,67.52,0.0,67.52,69.51,738.05,86,28.0,5806.99,3398.99
2025-04-25,P100,Everyday Sneakers,Footwear,68.27,0.0,68.27,70.0,1424.07,97,28.0,6621.77,3905.77
2025-04-26,P100,Everyday Sneakers,Footwear,67.24,0.0,67.24,70.11,1886.42,98,28.0,6589.24,3845.24
2025-04-27,P100,Everyday Sneakers,Footwear,66.93,0.15,56.89,68.18,1805.38,147,28.0,8362.76,4246.76
2025-04-28,P100,Everyday Sneakers,Footwear,69.73,0.2,55.79,68.66,1392.96,168,28.0,9371.98,4667.98
2025-04-29,P100,Everyday Sneakers,Footwear,67.44,0.0,67.44,67.6,1462.84,79,28.0,5328.07,3116.07
2025-04-30,P100,Everyday Sneakers,Footwear,68.6,0.0,68.6,67.38,1713.21,73,28.0,5008.01,2964.01
2025-05-01,P100,Everyday Sneakers,Footwear,66.8,0.0,66.8,66.82,1389.16,90,28.0,6011.62,3491.62
2025-05-02,P100,Everyday Sneakers,Footwear,67.38,0.0,67.38,67.88,1373.22,83,28.0,5592.91,3268.91
2025-05-03,P100,Everyday Sneakers,Footwear,68.5,0.2,54.8,68.74,1500.35,171,28.0,9370.27,4582.27
2025-05-04,P100,Everyday Sneakers,Footwear,70.06,0.0,70.06,67.87,1189.45,87,28.0,6095.08,3659.08
2025-05-05,P100,Everyday Sneakers,Footwear,66.24,0.0,66.24,66.44,1274.56,94,28.0,6226.65,3594.65
2025-05-06,P100,Everyday Sneakers,Footwear,67.5,0.0,67.5,66.58,1624.07,97,28.0,6547.92,3831.92
2025-05-07,P100,Everyday Sneakers,Footwear,67.18,0.1,60.47,68.74,1367.67,104,28.0,6288.42,3376.42
2025-05-08,P100,Everyday Sneakers,Footwear,67.23,0.2,53.79,68.19,976.11,151,28.0,8121.9,3893.9
2025-05-09,P100,Everyday Sneakers,Footwear,65.48,0.15,55.65,69.8,1209.09,145,28.0,8069.85,4009.85
2025-05-10,P100,Everyday Sneakers,Footwear,64.25,0.1,57.82,65.64,1194.24,121,28.0,6996.34,3608.34
2025-05-11,P100,Everyday Sneakers,Footwear,68.01,0.05,64.61,65.54,998.51,108,28.0,6977.78,3953.78
2025-05-12,P100,Everyday Sneakers,Footwear,69.05,0.15,58.69,65.4,1389.65,146,28.0,8568.79,4480.79
2025-05-13,P100,Everyday Sneakers,Footwear,64.99,0.0,64.99,66.69,1112.59,100,28.0,6499.48,3699.48
2025-05-14,P100,Everyday Sneakers,Footwear,67.25,0.0,67.25,64.33,1485.55,83,28.0,5582.09,3258.09
2025-05-15,P100,Everyday Sneakers,Footwear,68.46,0.0,68.46,66.2,1494.81,93,28.0,6366.86,3762.86
2025-05-16,P100,Everyday Sneakers,Footwear,67.39,0.05,64.02,64.35,1493.69,90,28.0,5762.08,3242.08
2025-05-17,P100,Everyday Sneakers,Footwear,67.08,0.15,57.01,67.92,1009.62,127,28.0,7240.9,3684.9
2025-05-18,P100,Everyday Sneakers,Footwear,67.61,0.1,60.85,67.51,1078.97,140,28.0,8518.51,4598.51
2025-05-19,P100,Everyday Sneakers,Footwear,66.14,0.05,62.83,67.49,1076.92,106,28.0,6660.32,3692.32
2025-05-20,P100,Everyday Sneakers,Footwear,65.97,0.0,65.97,66.28,1790.55,85,28.0,5607.75,3227.75
2025-05-21,P100,Everyday Sneakers,Footwear,63.62,0.05,60.44,71.25,1154.1,95,28.0,5741.82,3081.82
2025-05-22,P100,Everyday Sneakers,Footwear,66.14,0.0,66.14,66.37,1231.63,81,28.0,5357.62,3089.62
2025-05-23,P100,Everyday Sneakers,Footwear,67.18,0.1,60.46,64.26,1551.71,135,28.0,8162.73,4382.73
2025-05-24,P100,Everyday Sneakers,Footwear,66.64,0.0,66.64,66.17,1248.88,103,28.0,6863.44,3979.44
2025-05-25,P100,Everyday Sneakers,Footwear,64.26,0.0,64.26,66.03,1965.22,106,28.0,6811.44,3843.44
2025-05-26,P100,Everyday Sneakers,Footwear,68.37,0.0,68.37,64.76,1511.41,87,28.0,5948.38,3512.38
2025-05-27,P100,Everyday Sneakers,Footwear,65.22,0.2,52.18,68.65,1183.43,134,28.0,6991.77,3239.77
2025-05-28,P100,Everyday Sneakers,Footwear,66.22,0.1,59.6,65.0,1176.76,111,28.0,6615.38,3507.38
2025-05-29,P100,Everyday Sneakers,Footwear,64.11,0.05,60.91,67.3,1111.82,84,28.0,5116.07,2764.07
2025-05-30,P100,Everyday Sneakers,Footwear,67.12,0.0,67.12,66.9,1043.01,76,28.0,5100.97,2972.97
2025-05-31,P100,Everyday Sneakers,Footwear,67.14,0.0,67.14,70.44,1451.27,104,28.0,6982.6,4070.6
2025-06-01,P100,Everyday Sneakers,Footwear,65.87,0.0,65.87,67.73,1525.03,113,28.0,7443.81,4279.81
2025-06-02,P100,Everyday Sneakers,Footwear,65.4,0.0,65.4,65.44,1143.25,85,28.0,5559.29,3179.29
2025-06-03,P100,Everyday Sneakers,Footwear,66.97,0.15,56.93,68.8,1134.82,124,28.0,7059.02,3587.02
2025-06-04,P100,Everyday Sneakers,Footwear,66.36,0.2,53.08,67.83,489.36,131,28.0,6954.08,3286.08
2025-06-05,P100,Everyday Sneakers,Footwear,64.98,0.05,61.73,62.22,953.09,89,28.0,5494.12,3002.12
2025-06-06,P100,Everyday Sneakers,Footwear,65.66,0.15,55.81,65.71,928.91,126,28.0,7032.28,3504.28
2025-06-07,P100,Everyday Sneakers,Footwear,67.16,0.0,67.16,64.43,972.19,95,28.0,6380.33,3720.33
2025-06-08,P100,Everyday Sneakers,Footwear,65.58,0.0,65.58,66.03,1552.6,91,28.0,5967.57,3419.57
2025-06-09,P100,Everyday Sneakers,Footwear,65.81,0.0,65.81,65.66,862.28,74,28.0,4869.74,2797.74
2025-06-10,P100,Everyday Sneakers,Footwear,66.64,0.05,63.3,64.24,1265.38,106,28.0,6710.28,3742.28
2025-06-11,P100,Everyday Sneakers,Footwear,62.98,0.15,53.53,63.41,967.76,150,28.0,8030.18,3830.18
2025-06-12,P100,Everyday Sneakers,Footwear,66.1,0.0,66.1,63.98,896.97,86,28.0,5684.38,3276.38
2025-06-13,P100,Everyday Sneakers,Footwear,65.8,0.2,52.64,66.82,1232.44,151,28.0,7948.95,3720.95
2025-06-14,P100,Everyday Sneakers,Footwear,65.91,0.2,52.72,67.23,716.85,128,28.0,6748.79,3164.79
2025-06-15,P100,Everyday Sneakers,Footwear,66.92,0.0,66.92,67.85,932.58,79,28.0,5286.83,3074.83
2025-06-16,P100,Everyday Sneakers,Footwear,65.8,0.0,65.8,68.86,1485.87,88,28.0,5790.55,3326.55
2025-06-17,P100,Everyday Sneakers,Footwear,64.57,0.15,54.89,65.8,1192.26,119,28.0,6531.63,3199.63
2025-06-18,P100,Everyday Sneakers,Footwear,68.16,0.2,54.53,67.69,968.49,148,28.0,8070.47,3926.47
2025-06-19,P100,Everyday Sneakers,Footwear,66.43,0.2,53.14,66.49,1749.88,157,28.0,8343.33,3947.33
2025-06-20,P100,Everyday Sneakers,Footwear,66.54,0.15,56.56,66.3,657.9,120,28.0,6787.31,3427.31
2025-06-21,P100,Everyday Sneakers,Footwear,64.95,0.0,64.95,63.53,1905.45,115,28.0,7469.14,4249.14
2025-06-22,P100,Everyday Sneakers,Footwear,67.29,0.0,67.29,67.98,1304.34,95,28.0,6392.41,3732.41
2025-06-23,P100,Everyday Sneakers,Footwear,64.28,0.2,51.43,66.35,1321.74,134,28.0,6891.16,3139.16
2025-06-24,P100,Everyday Sneakers,Footwear,65.56,0.2,52.45,68.72,1621.92,152,28.0,7971.79,3715.79
2025-06-25,P100,Everyday Sneakers,Footwear,65.92,0.0,65.92,65.73,1226.95,77,28.0,5076.22,2920.22
2025-06-26,P100,Everyday Sneakers,Footwear,65.44,0.15,55.62,63.52,1484.04,129,28.0,7175.22,3563.22
2025-06-27,P100,Everyday Sneakers,Footwear,63.44,0.0,63.44,65.43,1658.45,102,28.0,6470.79,3614.79
2025-06-28,P100,Everyday Sneakers,Footwear,66.89,0.15,56.85,64.19,909.87,132,28.0,7504.74,3808.74
2025-06-29,P100,Everyday Sneakers,Footwear,66.1,0.0,66.1,67.81,1695.99,96,28.0,6345.88,3657.88
2025-06-30,P100,Everyday Sneakers,Footwear,64.12,0.0,64.12,65.99,1227.25,84,28.0,5386.48,3034.48
2025-07-01,P100,Everyday Sneakers,Footwear,65.97,0.0,65.97,64.76,1073.9,84,28.0,5541.29,3189.29
2025-07-02,P100,Everyday Sneakers,Footwear,65.18,0.0,65.18,66.09,889.81,80,28.0,5214.28,2974.28
2025-07-03,P100,Everyday Sneakers,Footwear,67.44,0.1,60.7,63.65,538.0,82,28.0,4977.4,2681.4
2025-07-04,P100,Everyday Sneakers,Footwear,65.74,0.1,59.16,65.43,1737.11,87,28.0,5147.13,2711.13
2025-07-05,P100,Everyday Sneakers,Footwear,66.2,0.0,66.2,68.29,894.0,88,28.0,5825.81,3361.81
2025-07-06,P100,Everyday Sneakers,Footwear,64.82,0.2,51.85,65.08,1813.89,192,28.0,9955.63,4579.63
2025-07-07,P100,Everyday Sneakers,Footwear,65.35,0.15,55.54,68.89,1312.81,150,28.0,8331.66,4131.66
2025-07-08,P100,Everyday Sneakers,Footwear,65.67,0.1,59.1,66.28,2444.39,125,28.0,7387.4,3887.4
2025-07-09,P100,Everyday Sneakers,Footwear,64.94,0.0,64.94,67.32,1169.74,82,28.0,5324.94,3028.94
2025-07-10,P100,Everyday Sneakers,Footwear,66.94,0.0,66.94,66.16,1305.03,84,28.0,5623.1,3271.1
2025-07-11,P100,Everyday Sneakers,Footwear,66.38,0.0,66.38,62.41,1539.97,73,28.0,4845.51,2801.51
2025-07-12,P100,Everyday Sneakers,Footwear,64.12,0.05,60.91,65.86,1050.34,114,28.0,6944.2,3752.2
2025-07-13,P100,Everyday Sneakers,Footwear,64.27,0.15,54.63,65.04,1089.45,135,28.0,7375.32,3595.32
2025-07-14,P100,Everyday Sneakers,Footwear,66.29,0.0,66.29,66.99,1322.68,70,28.0,4640.22,2680.22
2025-07-15,P100,Everyday Sneakers,Footwear,63.58,0.05,60.4,65.76,1220.45,97,28.0,5859.22,3143.22
2025-07-16,P100,Everyday Sneakers,Footwear,65.98,0.15,56.08,67.41,900.0,107,28.0,6001.01,3005.01
2025-07-17,P100,Everyday Sneakers,Footwear,64.71,0.2,51.77,66.32,1748.18,141,28.0,7299.7,3351.7
2025-07-18,P100,Everyday Sneakers,Footwear,63.03,0.15,53.57,64.44,1099.22,121,28.0,6482.37,3094.37
2025-07-19,P100,Everyday Sneakers,Footwear,66.18,0.15,56.25,65.35,1677.76,125,28.0,7031.18,3531.18
2025-07-20,P100,Everyday Sneakers,Footwear,65.11,0.15,55.35,63.3,1440.29,133,28.0,7361.09,3637.09
2025-07-21,P100,Everyday Sneakers,Footwear,66.03,0.0,66.03,68.64,1076.01,99,28.0,6537.0,3765.0
2025-07-22,P100,Everyday Sneakers,Footwear,65.98,0.15,56.08,66.09,912.55,108,28.0,6056.77,3032.77
2025-07-23,P100,Everyday Sneakers,Footwear,66.78,0.0,66.78,66.95,1076.02,86,28.0,5743.44,3335.44
2025-07-24,P100,Everyday Sneakers,Footwear,67.76,0.1,60.98,64.41,1490.59,112,28.0,6830.26,3694.26
2025-07-25,P100,Everyday Sneakers,Footwear,64.09,0.2,51.27,65.54,987.88,140,28.0,7177.91,3257.91
2025-07-26,P100,Everyday Sneakers,Footwear,65.74,0.0,65.74,69.32,1238.9,95,28.0,6245.21,3585.21
2025-07-27,P100,Everyday Sneakers,Footwear,66.2,0.05,62.89,66.29,1302.17,104,28.0,6540.89,3628.89
2025-07-28,P100,Everyday Sneakers,Footwear,67.96,0.15,57.77,66.72,1512.24,103,28.0,5950.26,3066.26
2025-07-29,P100,Everyday Sneakers,Footwear,66.48,0.2,53.19,67.84,1611.75,141,28.0,7499.12,3551.12
2025-07-30,P100,Everyday Sneakers,Footwear,67.73,0.2,54.18,68.32,1404.17,128,28.0,6935.18,3351.18
2025-07-31,P100,Everyday Sneakers,Footwear,67.11,0.1,60.4,61.35,1437.84,69,28.0,4167.27,2235.27
2025-08-01,P100,Everyday Sneakers,Footwear,64.64,0.15,54.94,67.19,881.53,111,28.0,6098.74,2990.74
2025-08-02,P100,Everyday Sneakers,Footwear,68.48,0.0,68.48,65.6,2107.45,86,28.0,5889.43,3481.43
2025-08-03,P100,Everyday Sneakers,Footwear,67.36,0.15,57.26,66.69,939.16,120,28.0,6870.68,3510.68
2025-08-04,P100,Everyday Sneakers,Footwear,66.87,0.0,66.87,64.2,1207.9,71,28.0,4748.02,2760.02
2025-08-05,P100,Everyday Sneakers,Footwear,68.11,0.15,57.89,66.09,1261.77,112,28.0,6483.71,3347.71
2025-08-06,P100,Everyday Sneakers,Footwear,67.79,0.0,67.79,64.92,925.03,80,28.0,5423.05,3183.05
2025-08-07,P100,Everyday Sneakers,Footwear,66.59,0.1,59.93,67.43,1466.81,89,28.0,5333.67,2841.67
2025-08-08,P100,Everyday Sneakers,Footwear,67.43,0.1,60.69,67.98,1434.78,107,28.0,6493.8,3497.8
2025-08-09,P100,Everyday Sneakers,Footwear,65.49,0.0,65.49,66.27,1126.2,94,28.0,6156.41,3524.41
2025-08-10,P100,Everyday Sneakers,Footwear,69.08,0.2,55.27,69.89,1773.33,143,28.0,7903.22,3899.22
2025-08-11,P100,Everyday Sneakers,Footwear,67.77,0.0,67.77,67.11,1347.08,82,28.0,5556.87,3260.87
2025-08-12,P100,Everyday Sneakers,Footwear,67.32,0.15,57.23,65.72,1150.79,116,28.0,6638.19,3390.19
